ds,y,y_smooth
2017-06-13,16894.89,17206.022857142856
2017-06-14,23559.52,18275.579999999998
2017-06-15,15105.26,17275.434285714284
2017-06-16,14777.69,16709.6
2017-06-17,13070.16,17163.60857142857
2017-06-18,19733.69,17218.63
2017-06-19,25933.44,18439.235714285714
2017-06-20,14659.82,18119.94
2017-06-21,7275.1,15793.594285714285
2017-06-22,10609.039999999999,15151.277142857143
2017-06-23,15698.5,15282.82142857143
2017-06-24,10013.7,14846.184285714286
2017-06-25,20734.34,14989.134285714286
2017-06-26,15200.32,13455.831428571428
2017-06-27,19680.13,14173.018571428573
2017-06-28,17080.88,15573.844285714285
2017-06-29,14694.57,16157.49142857143
2017-06-30,16236.74,16234.382857142858
2017-07-01,14139.0,16823.71142857143
2017-07-02,14002.37,15862.00142857143
2017-07-03,19328.18,16451.695714285714
2017-07-04,18107.6,16227.048571428571
2017-07-05,24664.579999999998,17310.434285714284
2017-07-06,26556.07,19004.934285714287
2017-07-07,16676.75,19067.792857142857
2017-07-08,12001.35,18762.414285714283
2017-07-09,10701.14,18290.81
2017-07-10,20661.8,18481.32714285714
2017-07-11,24964.63,19460.902857142857
2017-07-12,22740.8,19186.07714285714
2017-07-13,17986.75,17961.88857142857
2017-07-14,21833.26,18698.532857142858
2017-07-15,13128.05,18859.489999999998
2017-07-16,16150.23,19637.931428571428
2017-07-17,25799.54,20371.894285714287
2017-07-18,32450.89,21441.359999999997
2017-07-19,20411.75,21108.63857142857
2017-07-20,22517.84,21755.937142857143
2017-07-21,15870.789999999999,20904.155714285713
2017-07-22,13318.54,20931.36857142857
2017-07-23,14066.83,20633.739999999998
2017-07-24,22950.01,20226.664285714283
2017-07-25,20884.7,18574.351428571426
2017-07-26,14053.84,17666.07857142857
2017-07-27,18945.82,17155.79
2017-07-28,23276.3,18213.72
2017-07-29,18371.91,18935.63
2017-07-30,15341.69,19117.752857142856
2017-07-31,20479.91,18764.881428571425
2017-08-01,25417.36,19412.40428571429
2017-08-02,21690.26,20503.321428571428
2017-08-03,22380.55,20993.99714285714
2017-08-04,21712.53,20770.601428571426
2017-08-05,14465.84,20212.591428571428
2017-08-06,17023.39,20452.834285714285
2017-08-07,26629.34,21331.324285714283
2017-08-08,21541.13,20777.577142857142
2017-08-09,24214.39,21138.167142857146
2017-08-10,23594.02,21311.52
2017-08-11,23627.11,21585.03142857143
2017-08-12,16221.09,21835.78142857143
2017-08-13,15928.58,21679.38
2017-08-14,22232.12,21051.205714285716
2017-08-15,27992.04,21972.764285714286
2017-08-16,28398.61,22570.510000000002
2017-08-17,21885.09,22326.37714285714
2017-08-18,20143.72,21828.75
2017-08-19,15172.92,21679.01142857143
2017-08-20,15073.71,21556.88714285714
2017-08-21,26019.72,22097.972857142857
2017-08-22,19955.45,20949.88857142857
2017-08-23,18789.7,19577.187142857143
2017-08-24,16398.73,18793.42142857143
2017-08-25,17403.72,18401.992857142857
2017-08-26,12054.65,17956.525714285715
2017-08-27,16327.14,18135.587142857144
2017-08-28,25696.59,18089.425714285717
2017-08-29,37025.7,20528.032857142858
2017-08-30,35466.27,22910.399999999998
2017-08-31,23914.85,23984.13142857143
2017-09-01,32485.27,26138.63857142857
2017-09-02,20479.18,27342.14285714285
2017-09-03,30950.78,29431.234285714283
2017-09-04,28719.24,29863.04142857143
2017-09-05,24954.68,28138.609999999997
2017-09-06,28821.83,27189.40428571429
2017-09-07,21328.86,26819.977142857144
2017-09-08,14789.08,24291.95
2017-09-09,17681.22,23892.24142857143
2017-09-10,20978.6,22467.644285714287
2017-09-11,27103.89,22236.88
2017-09-12,32784.96,23355.49142857143
2017-09-13,32054.37,23817.282857142854
2017-09-14,26502.510000000002,24556.375714285714
2017-09-15,21556.66,25523.17285714286
2017-09-16,24040.31,26431.614285714284
2017-09-17,22848.42,26698.731428571427
2017-09-18,32535.23,27474.63714285714
2017-09-19,23478.66,26145.165714285715
2017-09-20,26170.079999999998,25304.552857142855
2017-09-21,22458.19,24726.792857142857
2017-09-22,19200.25,24390.162857142856
2017-09-23,12574.83,22752.237142857142
2017-09-24,15880.06,21756.757142857146
2017-09-25,21203.05,20137.874285714286
2017-09-26,25296.36,20397.545714285716
2017-09-27,24879.94,20213.239999999998
2017-09-28,26629.3,20809.11285714286
2017-09-29,34497.47,22994.43
2017-09-30,14879.17,23323.621428571427
2017-10-01,21909.43,24184.959999999995
2017-10-02,25565.11,24808.11142857143
2017-10-03,30389.12,25535.64857142857
2017-10-04,24787.579999999998,25522.454285714284
2017-10-05,29129.83,25879.672857142858
2017-10-06,21890.58,24078.68857142857
2017-10-07,17975.41,24521.00857142857
2017-10-08,19756.3,24213.418571428574
2017-10-09,35265.57,25599.198571428573
2017-10-10,32559.07,25909.191428571427
2017-10-11,26214.78,26113.077142857142
2017-10-12,22520.93,25168.948571428573
2017-10-13,26589.92,25840.282857142854
2017-10-14,16185.46,25584.575714285715
2017-10-15,21353.84,25812.795714285712
2017-10-16,35315.42,25819.917142857146
2017-10-17,35288.18,26209.79
2017-10-18,31793.670000000002,27006.774285714288
2017-10-19,26988.8,27645.041428571425
2017-10-20,21979.2,26986.367142857143
2017-10-21,18022.3,27248.772857142856
2017-10-22,23273.05,27522.945714285717
2017-10-23,25993.41,26191.23
2017-10-24,25739.27,24827.100000000002
2017-10-25,21470.53,23352.365714285716
2017-10-26,26415.55,23270.472857142857
2017-10-27,23488.17,23486.04
2017-10-28,20572.64,23850.374285714286
2017-10-29,20444.68,23446.321428571428
2017-10-30,23741.86,23124.67142857143
2017-10-31,27058.22,23313.092857142856
2017-11-01,22702.16,23489.04
2017-11-02,25017.16,23289.27
2017-11-03,27058.52,23799.32
2017-11-04,22294.81,24045.344285714287
2017-11-05,21752.57,24232.18571428571
2017-11-06,33945.14,25689.797142857144
2017-11-07,24945.21,25387.93857142857
2017-11-08,23436.7,25492.872857142855
2017-11-09,29175.83,26086.96857142857
2017-11-10,23676.7,25603.85142857143
2017-11-11,27578.63,26358.682857142856
2017-11-12,26725.08,27069.04142857143
2017-11-13,29606.24,26449.198571428573
2017-11-14,32012.6,27458.825714285715
2017-11-15,27683.35,28065.49
2017-11-16,33063.27,28620.838571428572
2017-11-17,35386.84,30293.71571428571
2017-11-18,27968.57,30349.42142857143
2017-11-19,23312.6,29861.92428571428
2017-11-20,50621.24,32864.067142857144
2017-11-21,39831.85,33981.102857142854
2017-11-22,30721.62,34415.14142857143
2017-11-23,52584.62,37203.90571428571
2017-11-24,179200.03,57748.647142857146
2017-11-25,71897.01,64024.138571428564
2017-11-26,53939.87,68399.46285714286
2017-11-27,56966.28,69305.89714285715
2017-11-28,56708.409999999996,71716.83428571429
2017-11-29,48043.16,74191.34
2017-11-30,37026.73,71968.78428571428
2017-12-01,46080.840000000004,52951.75714285714
2017-12-02,35908.51,47810.542857142864
2017-12-03,34803.19,45076.73142857144
2017-12-04,56225.41,44970.892857142855
2017-12-05,40707.77,42685.08714285715
2017-12-06,46149.63,42414.58285714286
2017-12-07,33664.2,41934.22142857143
2017-12-08,35160.82,40374.218571428566
2017-12-09,23639.52,38621.50571428571
2017-12-10,29784.26,37904.51571428571
2017-12-11,39415.43,35503.090000000004
2017-12-12,40370.39,35454.892857142855
2017-12-13,34385.08,33774.24285714286
2017-12-14,30754.31,33358.544285714284
2017-12-15,31451.63,32828.659999999996
2017-12-16,22907.05,32724.02142857143
2017-12-17,22106.0,31627.127142857145
2017-12-18,33898.13,30838.941428571427
2017-12-19,24494.28,28570.925714285717
2017-12-20,32004.68,28230.86857142857
2017-12-21,21546.44,26915.45857142857
2017-12-22,18073.47,25004.292857142857
2017-12-23,16425.64,24078.377142857145
2017-12-24,6960.79,21914.77571428571
2017-12-25,12662.23,18881.075714285715
2017-12-26,23797.46,18781.53
2017-12-27,21074.29,17220.045714285716
2017-12-28,17793.85,16683.96142857143
2017-12-29,20552.64,17038.12857142857
2017-12-30,15412.61,16893.41
2017-12-31,10190.93,17354.85857142857
2018-01-01,8486.29,16758.295714285716
2018-01-02,29494.74,17572.192857142858
2018-01-03,37154.62,19869.382857142857
2018-01-04,40998.15,23184.282857142858
2018-01-05,32341.95,24868.47
2018-01-06,32711.84,27339.788571428573
2018-01-07,33993.48,30740.152857142857
2018-01-08,45310.6,36000.76857142857
2018-01-09,35440.0,36850.09142857143
2018-01-10,44824.93,37945.85
2018-01-11,46746.38,38767.025714285715
2018-01-12,37270.23,39471.065714285716
2018-01-13,33222.38,39544.0
2018-01-14,35993.46,39829.71142857143
2018-01-15,45208.29,39815.095714285715
2018-01-16,51339.38,42086.43571428571
2018-01-17,42151.92,41704.57714285714
2018-01-18,33038.69,39746.33571428571
2018-01-19,35649.63,39514.82142857143
2018-01-20,26960.0,38620.19571428571
2018-01-21,28447.420000000002,37542.19
2018-01-22,43867.89,37350.70428571429
2018-01-23,40298.33,35773.41142857143
2018-01-24,37025.23,35041.02714285714
2018-01-25,35335.98,35369.21142857143
2018-01-26,39308.94,35891.969999999994
2018-01-27,25106.77,35627.22285714286
2018-01-28,27804.9,35535.434285714284
2018-01-29,36056.52,34419.524285714295
2018-01-30,35523.61,33737.42142857143
2018-01-31,37891.63,33861.19285714286
2018-02-01,35767.92,33922.898571428566
